name,description,user_per_month,cost_per_user_per_month,category,sub_category
Tibco Spotfire,"Augment Intelligence for Your Business
AI-powered, search-driven experience with built-in data wrangling and advanced analytics
TIBCO Spotfire is the most complete analytics solution in the market, and makes it fast and easy for everyone to visualize new discoveries in data. Using search and recommendations powered by a built-in artificial intelligence engine, anyone can explore data to bring insights.

Whether creating simple dashboard metrics, predictive applications, or dynamic real-time analytics applications, Spotfire delivers numerous capabilities at-scale, including visual analytics, data wrangling, predictive analytics, location analytics, and streaming analytics. Smart Visual Analytics:
Spotfire is the fastest analytics tool for getting insights from your data. We’ve made it even faster and simpler—with a beautiful, all-new, even more user friendly interface for exploring and visualizing data, and rich, interactive dashboards and point-and-click data exploration—all while preserving the powerful analytic capabilities Spotfire is known for. Intelligent Data Wrangling:
While you explore your data, smart, immersive, inline data wrangling helps you quickly spot data outliers, inconsistencies, and deficiencies, helping you quickly combine, clean, enrich, and transform it. Your workflows are auto-recorded on the data canvas for an editable data lineage you can audit and share. Spotfire is a leader in data prep capabilities. No separate tool is needed.Built-in Predictive Analytics
With one-click, out-of-the-box predictive methods for classification, clustering, and forecasting, anyone can get started with predictive analytics. Input data and output results can be visualized in Spotfire interactive dashboards, while deeper data science calculations can be performed using the TIBCO® Data Science Platform or Spotfire Data Functions that leverage R, Python, SAS, and Matlab code.Unparalleled Location Analytics
Instant out-of-the-box multi-layer maps, geocoding, and reverse geocoding bring geographic context to your analysis. Maps help generate insights and make predictions not possible using tables and charts. Spotfire dashboards visualize data and output results on maps and custom charts while deeper geo-analytics can be done using the built-in R engine and TIBCO® GeoAnalytics.Real-time Streaming Analytics
Spotfire Data Streams continually pushes new data to Spotfire for real-time analysis. Create interactive dashboards with real-time IoT (MQTT, OSI PI), social, and messaging (TIBCO, JMS, Kafka) sources as easily as with static data. Reimagine what analytics can do for frequently changing data, fresh insights for urgent decisions, and your understanding using both real-time and historic data.
Better Administration, Flexibility, Scale
Optimized to scale secure deployments, Spotfire delivers maximum flexibility and performance. A hybrid-cloud architecture supports on-premises to multiple cloud deployments—so all users enjoy smooth onboarding and worry-free upgrades. Administration with scriptable node topology, SLA & workload resource redistribution, add/delete of nodes and instances, smart routing, resource pools, and more.

Connect & Visualize More Data
Mashup and generate insights from more data: files, relational and NoSQL databases, OLAP, Hadoop, web services, cloud apps. Streaming data like IoT, social, and messaging easily joins static data for real-time contextual analysis using Spotfire Data Streams.

Analyze the Way You Want
The multi-modal interface uniquely lets you choose how you want to interact with data. Whether through Natural Language Query search, AI-powered recommendations to guide you, or direct manipulation, you choose the UI method that’s right for you.

Get Instant Insights with AI
A scalable and robust artificial intelligence engine identifies relationships in data and instantly recommends visualizations for lightning-fast insights. Discover trends, outliers, and patterns in any data without the need to know its structure!

Solve Tough Problems
Use advanced analytics without being an expert. Geo-analytics runs machine learning and statistical methods via an embedded R engine and TIBCO Statistica™. Use real-time data and extend BI to more of your business.

Build Process-specific Applications
Use out-of-the-box capabilities and rich APIs to deliver guided process-specific apps that drive action across multiple systems. Connect to proprietary data, custom visualizations and computations, and statistical methods for apps that support any business process.

Use Accelerators & Templates
Freely distributed accelerators include product templates and example solutions to get you to production quickly. The TIBCO Community offers product tips and tricks, videos, wiki articles, and access to professionals deploying these solutions.",,,Anlalytics,Business Intelligence
InsightSquared,"Our Platforms scale with your business. The more sophisticated your operations function, the more advanced features we pack into your Platform. We’ve bundled reports around popular use cases to make it easy for you to know exactly which reports you’ll have access to in whatever Packages you select. Sales Analytics
Ditch your static sales reporting to grow faster and more efficiently. Priced by number of reps owning opportunities.

Sales Forecasting: data-driven forecasts that adapt to reps’ changing win rates and sales cycles; in-period bookings and rep-level push rates analytics

Pipeline Analytics: historical pipeline over time, pipeline review tools, pipeline inflow/outflow analytics, more

Activity Analytics: per-rep and per-account activity over time, comparison vs goals, activity-to-activity ratios

Results Analytics: won/lost analysis, sales funnels for company and per-rep, bookings vs goals, and more

Forecast Accuracy Analytics: call-outs and manual forecast tracking, forecast accuracy analytics across reps and teams

Sales Development Analytics
Analytics for BDR / SDR / Sales Development teams. Priced by number of opportunity sourcers.

Call Analytics: per-SDR count and duration analysis, time of day analysis

Activity Analytics: activity by SDR for multiple activity types, activity goals, activity ratios

Downstream Contribution: pipeline contribution by SDR, bookings contribution by SDR

Conversion: sales funnel of sourced opps by SDR, sales cycle of sourced opps by SDR

Marketing Analytics
Insights on marketing-sales handoff, program ROI, and future spend.


Demand Management: Demand generation quantity, quality, conversion funnel from lead, to opp, to close, conversion rates over time, average conversion time in each lead stage, and sales SLA follow-up adherence

Marketing Attribution: Marketing’s impact on pipeline and revenue, compare first-touch, last-touch and multi-touch attribution models or customize to fit your unique process

Planning & Analysis: Website traffic performance, email performance, historical conversion data, lead source data including opportunity creation and closed deals, and lead to opp conversion forecast

SaaS Analytics
Board-level metrics, minus the board prep panic. Priced by total value of transactions processed.

MRR/ARR: inflow/outflow with new MRR, upgrades, downgrades and cancels

Churn: account churn and revenue churn, churn by custom field, LTV

Retention: renewal conversion rate, retention cohort heatmaps

Additional Connectors
Bring in data from any app. Priced by number of connectors added. Sample connectors include:

Billing/Finance: NetSuite, Zuora, Recurly, Stripe

Social Media and Marketing: Twitter, Google Analytics

Marketing Automation: Marketo, HubSpot

Productivity: PivotalTracker, Microsoft Excel

Telephony: Synety

* A complete list of connectors can be found on our Connectors page

Staffing Analytics
Increase placements by deriving actionable intelligence from your ATS. Priced by number of reps owning job orders.

Salesperson Analytics: job order pipeline generation, job order to placement funnel, won/lost analysis

Recruiter Analytics: activity tracking, time-to-fill

Candidate Analytics: per-candidate status and activity, candidate stage funnel, candidate source analysis",,,Anlalytics,N/A
Information Builders WebFOCUS,"WebFOCUS is an enterprise grade platform delivering a wide range of BI and analytical capabilities. As a strategic platform and technology, it provides a multitude of ways to manage, deploy, explore, view, and leverage trusted insights from a variety of governed data sources, to enable smarter business.
WebFOCUS is a business intelligence (BI) and analytics platform that boasts an elegant, fully responsive user interface and intuitive workflow. Unlike many analytics tools, which create silos and cannot scale, the New WebFOCUS empowers everyone inside and outside the organization with unlimited intelligence.

Business users need complete self-service analytics capabilities that help them create, use, and share analytical content
Data scientists and other experts need sophisticated predictive, AI and statistical capabilities that enables them to build models that can be used standalone or in scoring applications
Non-technical users need InfoApps™ for rich, interactive content that doesn't require training or tools – including analytics right inside the documents you send to them
Developers need the tools to create large-scale enterprise analytical applications for users inside and outside the firewall
WebFOCUS is uniquely positioned to fulfill all the needs of a modern enterprise, through its ability to combine a broad range of governed BI and analytics with agile insights created by business users, all in one place, securely, at scale, and in the cloud or on premises.
Predictive Analytics 
WebFOCUS incorporates a powerful predictive analytics capability, WebFOCUS RStat, which provides a single integrated solution for BI, data modeling, and scoring. Predictive can be deployed to hundreds and thousands of users.
Infographics 
WebFOCUS Infographics enable organizations to create and deliver visually insightful communications to employees, partners, prospects, and customers - without the need to code or be a designer.
Search
WebFOCUS InfoSearch provides BI oriented search analytics and the ability to discover business intelligence assets by searching a combination of content titles, metadata, and data elements.
Natural Language / Narrative BI
WebFOCUS Narrative Charts interprets data and automatically expresses conclusions in natural language, providing contextual explanations to augment visualizations.
Write Back
WebFOCUS Maintain is an application development option that enables write-back and the creation of web-based data maintenance applications that can be deployed across the enterprise.
High Performance Data Store
WebFOCUS Hyperstage is a columnar data store that combines the I/O advantage of in-memory analytics with an intelligent architecture that allows data to be stored on disk without sacrificing performance. Data Discovery
InfoAssist+ is an enterprise-grade analytics tool connected to the WebFOCUS platform, which enables governed self-service reporting, analysis, and data-discovery for non-technical users
Reporting
WebFOCUS has deep roots in enterprise reporting, and includes a fully featured report writing capability within its authoring tools, whether self-service, enterprise, financial, or managed reporting.
Dashboards
WebFOCUS offers a sophisticated BI portal capability that allows users and administrators to create and customize dashboards containing content from multiple data sources and formats. 
Location Analytics
ESRI's mapping technology is tightly integrated with WebFOCUS, which provides a single platform for location analytics, data modeling and scoring, and predictive analytics.
Casting and Archiving
WebFOCUS' ReportCaster provides real-time alerts, as well as a mechanism for fully automating, scheduling, storing, and instantly distributing information on a single pass of the data.
In-Document Analytics
A patented capability that enables the creation of analytical documents that contain one or more views (e.g., report, chart, dashboard), along with a data subset and a selection of interactive controls.",,,Anlalytics,N/A
SAP Data Services,"Unlock maximum value from all of your organisation’s data – structured or unstructured – with exceptional functionality for data integration, quality, and cleansing. Transform your data into a trusted, ever-ready resource for business insight – and use it to streamline processes and maximise efficiency.

On-premise deployment
Data quality and integration
Intuitive user interfaces 
Simplified maintenance .Access data for a broader perspective.Gain contextual insight and unlock the true value of your data. Create a complete view of your information by accessing data of any size and from any source.Achieve excellence in information management.
Improve decision-making and operational efficiency by standardising, correcting, and matching data to reduce duplicates, identify relationships, and correct quality issues proactively.Connect data to discover insights.Connect critical data on premise, in the cloud, or within Big Data. Use intuitive tools to integrate operational, analytical, machine-generated, and geographic data. 
Universal data access
Access and integrate all enterprise data sources and targets (SAP and non-SAP) with built-in, native connectors.
Native-text data processing
Unlock meaning from unstructured text data to increase business insight.
Intuitive business user interfaces
Standardise, correct, and match data with ease to reduce duplicates and identify relationships.
Data quality dashboards
Show the impact of data quality issues across all downstream systems or applications.
Simplified data governance
Transform all types of data with a centralised business rule repository and object reuse.
High performance and scalability
Meet high-volume needs by enabling parallel processing, grid computing, and bulk data loading. 
                                                                                                                                                                 ",,,ETL,N/A
Talend Data Integration,"An enterprise data integration software to connect, access, and transform any data across the cloud or on-premises.Data Integration The fastest, most cost effective way to connect data. Talend offers robust data integration in an open and scalable architecture to maximize its value to your business. As part of the Talend Data Fabric, Talend Data Integration provides the unified tools to integrate, cleanse, mask and profile all of your data, enabling you to turn data into decisions. -Develop and deploy 10 times faster -Increase trust in data -Lower cost of ownership",,,ETL,N/A
IBM infosphere information server,"IBM InfoSphere Information Server is an advanced data integration platform that enables you to cleanse, monitor, transform and deliver data. The scalable solution provides massively parallel processing capabilities to help you manage small to very large data volumes. It helps you deliver trusted information to your key business initiatives such as big data and analytics, data warehouse modernization and master data management.

Better understand your data and cleanse, monitor, transform and deliver it. Build confidence in your data Delivers clean, consistent and timely information for your data warehouses or big data projects and applications. Create a flexible governance strategy Helps you adapt a data governance strategy to suit your organizational objectives, while shaping business information in unique ways to meet your needs. Modernize and consolidate your systems Enables you to consolidate applications, retire outdated databases and modernize your infrastructure, as well as automate business processes for improved cost savings. Connect business and IT Provides a unified platform that enables collaboration, which can help you bridge the gap between business and IT and align objectives. Consolidates disparate data into a single, reliable record to help ensure that the best data is maintained across multiple sources and systems. Load the master record into operational data stores, data warehouses or master data applications to create a trusted source of information.Allows you to derive more meaning from your data, using integrated rules analysis on a scalable platform. Loads cleansed information into analytical views to enable you to monitor and maintain data quality. Reuse these views across the enterprise to establish data quality metrics that align with business objectives, allowing your organization to quickly uncover and fix data quality issues.Uses a standardized approach to help you discover your IT assets and define a common business language for your data. Introduces open metadata features to support your data compliance and governance initiatives.Enables data integration, data cleansing, and data profiling and analysis workloads to run on the data nodes of a Hadoop cluster. This allows you to introduce data enhancement, integration and governance features where your big data is stored, to minimize data movement. Provides support for Hadoop files including data formats, character sets and data types.",,,ETL,N/A
Oracle Data Integrator,"A widely used data integration software product, Oracle Data Integrator provides a new declarative design approach to defining data transformation and integration processes, resulting in faster and simpler development and maintenance. Based on a unique E-LT architecture (Extract - Load Transform), Oracle Data Integrator not only guarantees the highest level of performance possible for the execution of data transformation and validation processes but is also the most cost-effective solution available today.

Oracle Data Integrator provides a unified infrastructure to streamline data and application integration projects. Faster and simpler development and maintenance: The declarative rules driven approach to data integration greatly reduces the learning curve of the product and increases developer productivity while facilitating ongoing maintenance. This approach separates the definition of the processes from their actual implementation, and separates the declarative rules (the ""what"") from the data flows (the ""how"").

Data quality firewall: Oracle Data Integrator ensures that faulty data is automatically detected and recycled before insertion in the target application. This is performed without the need for programming, following the data integrity rules and constraints defined both on the target application and in Oracle Data Integrator.

Better execution performance: traditional data integration software (ETL) is based on proprietary engines that perform data transformations row by row, thus limiting performance. By implementing an E-LT architecture, based on your existing RDBMS engines and SQL, you are capable of executing data transformations on the target server at a set-based level, giving you much higher performance.

Simpler and more efficient architecture: the E-LT architecture removes the need for an ETL Server sitting between the sources and the target server. It utilizes the source and target servers to perform complex transformations, most of which happen in batch mode when the server is not busy processing end-user queries.

Platform Independence: Oracle Data Integrator supports all platforms, hardware and OSs with the same software.

Data Connectivity: Oracle Data Integrator supports all RDBMSs including all leading Data Warehousing platforms such as Oracle, Exadata, Teradata, IBM DB2, Netezza, Sybase IQ and numerous other technologies such as flat files, ERPs, LDAP, XML.

Cost-savings: the elimination of the ETL Server and ETL engine reduces both the initial hardware and software acquisition and maintenance costs. The reduced learning curve and increased developer productivity significantly reduce the overall labor costs of the project, as well as the cost of ongoing enhancements.",,,ETL,N/A
SAP S/4HANA,"With SAP S/4HANA (SAP Business Suite 4 SAP HANA), SAP is providing a new product and a next generation of business
applications – simple enterprise software for big data and designed to help you run simple in the digital economy.
The SAP S/4HANA family is fully built on the in-memory platform SAP HANA. Using the advanced potential of SAP HANA, SAP
S/4HANA is designed for your digital business and provides an instant insight by using a single source of truth, real-time
processes, dynamic planning and analysis. With SAP Fiori user experience and less complex data model it is designed to run
simple, and in parallel reduces the data footprint of your company. SAP S/4HANA is also already connected to business and
company-internal collaboration networks (for example, SAP Jam Collaboration) and prepared for the Internet of Things. With all
these aspects, SAP is protecting your investments by facilitating next generation business applications.",,,,
Sage Intacct,"Sage Intacct is a cloud ERP system targeted at high-growth small and medium-sized businesses – from startups to public companies. According to the vendor, the Sage Intacct ERP system includes applications for core financials and accounting, purchasing, order management, and financial reporting and business intelligence. Optional applications include FAS-52 compliant multi-currency support, real-time financial consolidation and multi-entity support, sales tax management, inventory management, revenue management, project accounting and pre-packaged integration with Salesforce CRM.Sage Intacct’s cloud delivery model allows for anytime access from a web browser. With no software or hardware to buy, install, maintain, or upgrade, Sage Intacct eliminates many of the costs and risks associated with traditional on-premises financial software.Sage Intacct applications can also be configured without programming and are designed to work with other key business applications.",,,,
Microsoft Dynamics 365,"What is Dynamics 365 Business Central?
Microsoft Dynamics AX is the complete ERP solution for enterprises that provides a purpose-built foundation across five industries (manufacturing, distribution, retail, services, and public sector), along with comprehensive, core ERP functionality for financial, human resources and operations management. It empowers your people to anticipate and embrace change so your business can thrive. All of this is packaged in a single global solution giving you rapid time to value.
",,,,
Oracle eBusiness Suite,"Oracle E-Business Suite is the most comprehensive suite of integrated, global business applications that enable organizations to make better decisions, reduce costs, and increase performance.

Why Oracle?
With hundreds of cross-industry capabilities spanning enterprise resource planning, customer relationship management, and supply chain planning, Oracle E-Business Suite applications help customers manage the complexities of global business environments no matter if the organization is small, medium, or large in size. As part of Oracle۪s Applications Unlimited strategy, Oracle E-Business Suite applications will continue to be enhanced, thus protecting and extending the value of your software investment.",,,,
PeopleSoft,"What is Oracle PeopleSoft?
Take advantage of significant cost savings and operational improvements when you run PeopleSoft in the Oracle Cloud. Oracle offers the only no-compromise enterprise cloud platform for moving PeopleSoft, its associated database systems, and ecosystem of apps to the cloud. Only PeopleSoft deployments running in Oracle Cloud have access to PeopleSoft Cloud Manager which automates routines for cloud migration and lifecycle management.",,,,
EPICOR,"Epicor Software Corporation drives business growth. We provide flexible, industry-specific software that is designed to fit the precise needs of our manufacturing customers. More than 45 years of experience with our customers’ unique business processes and operational requirements built into every solution-in the cloud, hosted, or on premises. With a deep understanding of your industry, Epicor solutions spur growth while managing complexity. With margins for products eroding, customer demands increasing, and the world in a state of uncertainty, manufacturers must leverage technology to increase business agility, enable insightful decision-making, and achieve even more at the fastest pace. Designed for the way people work today, yet is ready for how people will work tomorrow, Epicor provides a proven foundation with which to leverage new technologies such as the Internet of Things, big data and analytics, social collaboration and mobility which all support manufacturers moving towards Industry 4.0 and smart manufacturing initiatives. Replacing technology, integration, and accessibility barriers that stifle productivity, Epicor ERP provides a new level of collaboration, visibility, and results. The result is powerful solutions that free your resources so you can grow your business.
Show More
",,,,
Netsuite,"What is NetSuite?
As the world's #1 cloud ERP solution, NetSuite is the first and last business management solution your business will ever need.

NetSuite provides a suite of cloud-based applications, which includes financials / Enterprise Resource Planning (ERP), HR, professional services automation and omnichannel commerce, used by more than 19,000 customers in 203 countries.",,,,
